ID	Formula	MW_x	Purity	PO	MW_salt	Box_ID	Well	Barcode	Amount_mg	Smile	compound_name	Salt_Name	Salt_ratio	canonical_smiles	isomeric_smiles	monoisotopic_mass	Source Plate Barcode	Source Well	well_location	Transfer Volume	Unit [nL]	plate_id	Source Plate Type	Source Plate Name	Destination Plate Name	Stock concentration	Unit[mM]	VESSELPOSITION	Solvent	MW_y	Transfer	unique_sample_id	WellNumber	WellLetter	Cxsmiles	smiles	Catalog ID	PLATE_ID	V, µL	Conc, mM	Salt smiles	Salt_name	Stereochem.data	Geometric.isomer	MW_x.1	SAMPLEIDDISPLAY	Structure [idcode]	Molecule Name	ORDERING NUMBER	MOLPORTID	SUPPLIER NAME	CATALOG NUMBER	MOL WEIGHT TOTAL	MOL WEIGHT PARRENT	MOL WEIGHT NORMAL	MOL FORMULA	QUANTITY	QUANTITY MEASURE	STEREOCHEMISTRY	PURITY CLASSIFIED	PO NUMBER FROM CLIENT	BOX_NAME	BOX_ROW	BOX_COLUMN	VIAL_BARCODE	AMOUNT_IN_VIAL	AMOUNT_IN_VIAL_MEASURE	QUALITY CONTROL	COMPOUND STATE	PARRENT RATIO	MOL WEIGHT SALT	SALT RATIO	SALT DATA	MW	SMILES	VOLUME_IN_VIAL	VOLUME_UNIT	CONCENTRATION, mM	NOTES	IUPAC	Barcode rack	Barcode vial	Position	m(mg)	c mM	V(DMSO)	Unnamed: 28
	C6H8N2O2S	172.2049	98.66	92.7/22	0.0		Y42				3-(2-amino-1,3-thiazol-5-yl)propanoic acid						1560045-Y5.25-A02	Y42	N11	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	323.0	DMSO	172.030648		pluskal_enammol_5002_N11_id	11	N	NC1=NC=C(CCC(=O)O)S1	NC1=NC=C(CCC(=O)O)S1	Z1154248781	1560045-Y5.25-A02	5,25	100.0			Achiral	None	172.030648	Z1154248781																																									
	C14H19NO4	265.305	100.0	92.7/22	0.0		Q08				2-(2-methylfuran-3-amido)cycloheptane-1-carboxylic acid						1560045-Y5.25-A02	Q8	N12	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	324.0	DMSO	265.131408		pluskal_enammol_5002_N12_id	12	N	CC=1OC=CC1C(=O)NC2CCCCCC2C(=O)O	CC=1OC=CC1C(=O)NC2CCCCCC2C(=O)O	Z1385253387	1560045-Y5.25-A02	5,25	100.0			Diastereomeric mixture	Unknown	265.131408	Z1385253387																																									
	C9H11F3N2O2	236.191	100.0	92.7/22	0.0		H20				1-tert-butyl-5-(trifluoromethyl)-1H-pyrazole-4-carboxylic acid						1560045-Y5.25-A02	H20	N12	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	324.0	DMSO	236.077262		pluskal_enammol_5002_N12_id	12	N	CC(C)(C)N1N=CC(C(=O)O)=C1C(F)(F)F	CC(C)(C)N1N=CC(C(=O)O)=C1C(F)(F)F	Z281776236	1560045-Y5.25-A02	5,25	100.0			Achiral	None	236.077262	Z281776236																																									
	C7H8O4	156.136	100.0	92.7/22	0.0		V21				3-(methoxymethyl)furan-2-carboxylic acid						1560045-Y5.25-A02	V21	N12	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	324.0	DMSO	156.042259		pluskal_enammol_5002_N12_id	12	N	COCC=1C=COC1C(=O)O	COCC=1C=COC1C(=O)O	Z382719530	1560045-Y5.25-A02	5,25	100.0			Achiral	None	156.042259	Z382719530																																									
	C11H11NO3	205.2099	96.27	92.7/22	0.0		P27				1-methyl-2-oxo-1,2,3,4-tetrahydroquinoline-7-carboxylic acid						1560045-Y5.25-A02	P27	N12	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	324.0	DMSO	205.073893		pluskal_enammol_5002_N12_id	12	N	CN1C(=O)CCC=2C=CC(=CC12)C(=O)O	CN1C(=O)CCC=2C=CC(=CC12)C(=O)O	Z1509023324	1560045-Y5.25-A02	5,25	100.0			Achiral	None	205.073893	Z1509023324																																									
	C8H9NO4	183.1614	100.0	92.7/22	0.0		X29				3-(3-methyloxetan-3-yl)-1,2-oxazole-4-carboxylic acid						1560045-Y5.25-A02	X29	N12	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	324.0	DMSO	183.053158		pluskal_enammol_5002_N12_id	12	N	CC1(COC1)C2=NOC=C2C(=O)O	CC1(COC1)C2=NOC=C2C(=O)O	Z2683198208	1560045-Y5.25-A02	5,25	100.0			Achiral	None	183.053158	Z2683198208																																									
	C6H5F3N2O2	194.1113	95.0	92.7/22	0.0		I35				1-methyl-3-(trifluoromethyl)-1H-pyrazole-5-carboxylic acid						1560045-Y5.25-A02	I35	N12	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	324.0	DMSO	194.030312		pluskal_enammol_5002_N12_id	12	N	CN1N=C(C=C1C(=O)O)C(F)(F)F	CN1N=C(C=C1C(=O)O)C(F)(F)F	Z275169884	1560045-Y5.25-A02	5,25	100.0			Achiral	None	194.030312	Z275169884																																									
	C11H13N3O2	219.2398	92.51	92.7/22	0.0		AB37				7-methyl-3-(propan-2-yl)pyrazolo[1,5-a]pyrimidine-5-carboxylic acid						1560045-Y5.25-A02	AB37	N12	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	324.0	DMSO	219.100777		pluskal_enammol_5002_N12_id	12	N	CC(C)C=1C=NN2C(C)=CC(=NC12)C(=O)O	CC(C)C=1C=NN2C(C)=CC(=NC12)C(=O)O	Z2182000520	1560045-Y5.25-A02	5,25	100.0			Achiral	None	219.100777	Z2182000520																																									
	C8H6F2O2	172.1288	100.0	92.7/22	0.0		D40				2-(2,6-difluorophenyl)acetic acid						1560045-Y5.25-A02	D40	N12	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	324.0	DMSO	172.033586		pluskal_enammol_5002_N12_id	12	N	OC(=O)CC=1C(F)=CC=CC1F	OC(=O)CC=1C(F)=CC=CC1F	Z362118786	1560045-Y5.25-A02	5,25	100.0			Achiral	None	172.033586	Z362118786																																									
	C12H16N2O3	236.267	100.0	92.7/22	0.0		AC08				2,3-dimethyl-2-[(pyridin-3-yl)formamido]butanoic acid						1560045-Y5.25-A02	AC8	N13	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	325.0	DMSO	236.116092		pluskal_enammol_5002_N13_id	13	N	CC(C)C(C)(NC(=O)C=1C=CC=NC1)C(=O)O	CC(C)C(C)(NC(=O)C=1C=CC=NC1)C(=O)O	Z1603631281	1560045-Y5.25-A02	5,25	100.0			Racemic or presumed racemic or meso	None	236.116092	Z1603631281																																									
